Asset name,Source URL,License,Attribution required?,File format downloaded,Approximate polygon/triangle count,One-line description,Folder/category,File path
kenney furniture-kit kitchenMicrowave,https://kenney.nl/assets/furniture-kit,CC0 1.0,N,FBX,Not stated,"Furniture kit: chairs, tables, beds, cabinets and interior props.",Miscellaneous,/home/ubuntu/BOPLUX_assets/Miscellaneous/kenney_furniture-kit_kitchenMicrowave.fbx
kenney furniture-kit kitchenSink,https://kenney.nl/assets/furniture-kit,CC0 1.0,N,FBX,Not stated,"Furniture kit: chairs, tables, beds, cabinets and interior props.",Miscellaneous,/home/ubuntu/BOPLUX_assets/Miscellaneous/kenney_furniture-kit_kitchenSink.fbx
kenney furniture-kit kitchenStove,https://kenney.nl/assets/furniture-kit,CC0 1.0,N,FBX,Not stated,"Furniture kit: chairs, tables, beds, cabinets and interior props.",Miscellaneous,/home/ubuntu/BOPLUX_assets/Miscellaneous/kenney_furniture-kit_kitchenStove.fbx
kenney furniture-kit kitchenStoveElectric,https://kenney.nl/assets/furniture-kit,CC0 1.0,N,FBX,Not stated,"Furniture kit: chairs, tables, beds, cabinets and interior props.",Miscellaneous,/home/ubuntu/BOPLUX_assets/Miscellaneous/kenney_furniture-kit_kitchenStoveElectric.fbx
kenney furniture-kit lampRoundFloor,https://kenney.nl/assets/furniture-kit,CC0 1.0,N,FBX,Not stated,"Furniture kit: chairs, tables, beds, cabinets and interior props.",Lighting,/home/ubuntu/BOPLUX_assets/Lighting/kenney_furniture-kit_lampRoundFloor.fbx
kenney furniture-kit lampRoundTable,https://kenney.nl/assets/furniture-kit,CC0 1.0,N,FBX,Not stated,"Furniture kit: chairs, tables, beds, cabinets and interior props.",Furniture,/home/ubuntu/BOPLUX_assets/Furniture/kenney_furniture-kit_lampRoundTable.fbx
kenney furniture-kit lampSquareCeiling,https://kenney.nl/assets/furniture-kit,CC0 1.0,N,FBX,Not stated,"Furniture kit: chairs, tables, beds, cabinets and interior props.",Lighting,/home/ubuntu/BOPLUX_assets/Lighting/kenney_furniture-kit_lampSquareCeiling.fbx
kenney furniture-kit lampSquareFloor,https://kenney.nl/assets/furniture-kit,CC0 1.0,N,FBX,Not stated,"Furniture kit: chairs, tables, beds, cabinets and interior props.",Lighting,/home/ubuntu/BOPLUX_assets/Lighting/kenney_furniture-kit_lampSquareFloor.fbx
kenney furniture-kit lampSquareTable,https://kenney.nl/assets/furniture-kit,CC0 1.0,N,FBX,Not stated,"Furniture kit: chairs, tables, beds, cabinets and interior props.",Furniture,/home/ubuntu/BOPLUX_assets/Furniture/kenney_furniture-kit_lampSquareTable.fbx
kenney furniture-kit lampWall,https://kenney.nl/assets/furniture-kit,CC0 1.0,N,FBX,Not stated,"Furniture kit: chairs, tables, beds, cabinets and interior props.",Structural_Kit,/home/ubuntu/BOPLUX_assets/Structural_Kit/kenney_furniture-kit_lampWall.fbx
kenney furniture-kit laptop,https://kenney.nl/assets/furniture-kit,CC0 1.0,N,FBX,Not stated,"Furniture kit: chairs, tables, beds, cabinets and interior props.",Miscellaneous,/home/ubuntu/BOPLUX_assets/Miscellaneous/kenney_furniture-kit_laptop.fbx
kenney furniture-kit loungeChair,https://kenney.nl/assets/furniture-kit,CC0 1.0,N,FBX,Not stated,"Furniture kit: chairs, tables, beds, cabinets and interior props.",Furniture,/home/ubuntu/BOPLUX_assets/Furniture/kenney_furniture-kit_loungeChair.fbx
kenney furniture-kit loungeChairRelax,https://kenney.nl/assets/furniture-kit,CC0 1.0,N,FBX,Not stated,"Furniture kit: chairs, tables, beds, cabinets and interior props.",Furniture,/home/ubuntu/BOPLUX_assets/Furniture/kenney_furniture-kit_loungeChairRelax.fbx
kenney furniture-kit loungeDesignChair,https://kenney.nl/assets/furniture-kit,CC0 1.0,N,FBX,Not stated,"Furniture kit: chairs, tables, beds, cabinets and interior props.",Furniture,/home/ubuntu/BOPLUX_assets/Furniture/kenney_furniture-kit_loungeDesignChair.fbx
kenney furniture-kit loungeDesignSofa,https://kenney.nl/assets/furniture-kit,CC0 1.0,N,FBX,Not stated,"Furniture kit: chairs, tables, beds, cabinets and interior props.",Furniture,/home/ubuntu/BOPLUX_assets/Furniture/kenney_furniture-kit_loungeDesignSofa.fbx
kenney furniture-kit loungeDesignSofaCorner,https://kenney.nl/assets/furniture-kit,CC0 1.0,N,FBX,Not stated,"Furniture kit: chairs, tables, beds, cabinets and interior props.",Furniture,/home/ubuntu/BOPLUX_assets/Furniture/kenney_furniture-kit_loungeDesignSofaCorner.fbx
kenney furniture-kit loungeSofa,https://kenney.nl/assets/furniture-kit,CC0 1.0,N,FBX,Not stated,"Furniture kit: chairs, tables, beds, cabinets and interior props.",Furniture,/home/ubuntu/BOPLUX_assets/Furniture/kenney_furniture-kit_loungeSofa.fbx
kenney furniture-kit loungeSofaCorner,https://kenney.nl/assets/furniture-kit,CC0 1.0,N,FBX,Not stated,"Furniture kit: chairs, tables, beds, cabinets and interior props.",Furniture,/home/ubuntu/BOPLUX_assets/Furniture/kenney_furniture-kit_loungeSofaCorner.fbx
kenney furniture-kit loungeSofaLong,https://kenney.nl/assets/furniture-kit,CC0 1.0,N,FBX,Not stated,"Furniture kit: chairs, tables, beds, cabinets and interior props.",Furniture,/home/ubuntu/BOPLUX_assets/Furniture/kenney_furniture-kit_loungeSofaLong.fbx
kenney furniture-kit loungeSofaOttoman,https://kenney.nl/assets/furniture-kit,CC0 1.0,N,FBX,Not stated,"Furniture kit: chairs, tables, beds, cabinets and interior props.",Furniture,/home/ubuntu/BOPLUX_assets/Furniture/kenney_furniture-kit_loungeSofaOttoman.fbx
kenney furniture-kit paneling,https://kenney.nl/assets/furniture-kit,CC0 1.0,N,FBX,Not stated,"Furniture kit: chairs, tables, beds, cabinets and interior props.",Miscellaneous,/home/ubuntu/BOPLUX_assets/Miscellaneous/kenney_furniture-kit_paneling.fbx
kenney furniture-kit pillow,https://kenney.nl/assets/furniture-kit,CC0 1.0,N,FBX,Not stated,"Furniture kit: chairs, tables, beds, cabinets and interior props.",Miscellaneous,/home/ubuntu/BOPLUX_assets/Miscellaneous/kenney_furniture-kit_pillow.fbx
kenney furniture-kit pillowBlue,https://kenney.nl/assets/furniture-kit,CC0 1.0,N,FBX,Not stated,"Furniture kit: chairs, tables, beds, cabinets and interior props.",Miscellaneous,/home/ubuntu/BOPLUX_assets/Miscellaneous/kenney_furniture-kit_pillowBlue.fbx
kenney furniture-kit pillowBlueLong,https://kenney.nl/assets/furniture-kit,CC0 1.0,N,FBX,Not stated,"Furniture kit: chairs, tables, beds, cabinets and interior props.",Miscellaneous,/home/ubuntu/BOPLUX_assets/Miscellaneous/kenney_furniture-kit_pillowBlueLong.fbx
kenney furniture-kit pillowLong,https://kenney.nl/assets/furniture-kit,CC0 1.0,N,FBX,Not stated,"Furniture kit: chairs, tables, beds, cabinets and interior props.",Miscellaneous,/home/ubuntu/BOPLUX_assets/Miscellaneous/kenney_furniture-kit_pillowLong.fbx
kenney furniture-kit plantSmall1,https://kenney.nl/assets/furniture-kit,CC0 1.0,N,FBX,Not stated,"Furniture kit: chairs, tables, beds, cabinets and interior props.",Vegetation,/home/ubuntu/BOPLUX_assets/Vegetation/kenney_furniture-kit_plantSmall1.fbx
kenney furniture-kit plantSmall2,https://kenney.nl/assets/furniture-kit,CC0 1.0,N,FBX,Not stated,"Furniture kit: chairs, tables, beds, cabinets and interior props.",Vegetation,/home/ubuntu/BOPLUX_assets/Vegetation/kenney_furniture-kit_plantSmall2.fbx
kenney furniture-kit plantSmall3,https://kenney.nl/assets/furniture-kit,CC0 1.0,N,FBX,Not stated,"Furniture kit: chairs, tables, beds, cabinets and interior props.",Vegetation,/home/ubuntu/BOPLUX_assets/Vegetation/kenney_furniture-kit_plantSmall3.fbx
kenney furniture-kit pottedPlant,https://kenney.nl/assets/furniture-kit,CC0 1.0,N,FBX,Not stated,"Furniture kit: chairs, tables, beds, cabinets and interior props.",Vegetation,/home/ubuntu/BOPLUX_assets/Vegetation/kenney_furniture-kit_pottedPlant.fbx
kenney furniture-kit radio,https://kenney.nl/assets/furniture-kit,CC0 1.0,N,FBX,Not stated,"Furniture kit: chairs, tables, beds, cabinets and interior props.",Miscellaneous,/home/ubuntu/BOPLUX_assets/Miscellaneous/kenney_furniture-kit_radio.fbx
kenney furniture-kit rugDoormat,https://kenney.nl/assets/furniture-kit,CC0 1.0,N,FBX,Not stated,"Furniture kit: chairs, tables, beds, cabinets and interior props.",Structural_Kit,/home/ubuntu/BOPLUX_assets/Structural_Kit/kenney_furniture-kit_rugDoormat.fbx
kenney furniture-kit rugRectangle,https://kenney.nl/assets/furniture-kit,CC0 1.0,N,FBX,Not stated,"Furniture kit: chairs, tables, beds, cabinets and interior props.",Miscellaneous,/home/ubuntu/BOPLUX_assets/Miscellaneous/kenney_furniture-kit_rugRectangle.fbx
kenney furniture-kit rugRound,https://kenney.nl/assets/furniture-kit,CC0 1.0,N,FBX,Not stated,"Furniture kit: chairs, tables, beds, cabinets and interior props.",Rocks_Terrain,/home/ubuntu/BOPLUX_assets/Rocks_Terrain/kenney_furniture-kit_rugRound.fbx
kenney furniture-kit rugRounded,https://kenney.nl/assets/furniture-kit,CC0 1.0,N,FBX,Not stated,"Furniture kit: chairs, tables, beds, cabinets and interior props.",Rocks_Terrain,/home/ubuntu/BOPLUX_assets/Rocks_Terrain/kenney_furniture-kit_rugRounded.fbx
kenney furniture-kit rugSquare,https://kenney.nl/assets/furniture-kit,CC0 1.0,N,FBX,Not stated,"Furniture kit: chairs, tables, beds, cabinets and interior props.",Miscellaneous,/home/ubuntu/BOPLUX_assets/Miscellaneous/kenney_furniture-kit_rugSquare.fbx
kenney furniture-kit shower,https://kenney.nl/assets/furniture-kit,CC0 1.0,N,FBX,Not stated,"Furniture kit: chairs, tables, beds, cabinets and interior props.",Miscellaneous,/home/ubuntu/BOPLUX_assets/Miscellaneous/kenney_furniture-kit_shower.fbx
kenney furniture-kit showerRound,https://kenney.nl/assets/furniture-kit,CC0 1.0,N,FBX,Not stated,"Furniture kit: chairs, tables, beds, cabinets and interior props.",Miscellaneous,/home/ubuntu/BOPLUX_assets/Miscellaneous/kenney_furniture-kit_showerRound.fbx
kenney furniture-kit sideTable,https://kenney.nl/assets/furniture-kit,CC0 1.0,N,FBX,Not stated,"Furniture kit: chairs, tables, beds, cabinets and interior props.",Furniture,/home/ubuntu/BOPLUX_assets/Furniture/kenney_furniture-kit_sideTable.fbx
kenney furniture-kit sideTableDrawers,https://kenney.nl/assets/furniture-kit,CC0 1.0,N,FBX,Not stated,"Furniture kit: chairs, tables, beds, cabinets and interior props.",Furniture,/home/ubuntu/BOPLUX_assets/Furniture/kenney_furniture-kit_sideTableDrawers.fbx
kenney furniture-kit speaker,https://kenney.nl/assets/furniture-kit,CC0 1.0,N,FBX,Not stated,"Furniture kit: chairs, tables, beds, cabinets and interior props.",Miscellaneous,/home/ubuntu/BOPLUX_assets/Miscellaneous/kenney_furniture-kit_speaker.fbx
kenney furniture-kit speakerSmall,https://kenney.nl/assets/furniture-kit,CC0 1.0,N,FBX,Not stated,"Furniture kit: chairs, tables, beds, cabinets and interior props.",Miscellaneous,/home/ubuntu/BOPLUX_assets/Miscellaneous/kenney_furniture-kit_speakerSmall.fbx
kenney furniture-kit stairs,https://kenney.nl/assets/furniture-kit,CC0 1.0,N,FBX,Not stated,"Furniture kit: chairs, tables, beds, cabinets and interior props.",Miscellaneous,/home/ubuntu/BOPLUX_assets/Miscellaneous/kenney_furniture-kit_stairs.fbx
kenney furniture-kit stairsCorner,https://kenney.nl/assets/furniture-kit,CC0 1.0,N,FBX,Not stated,"Furniture kit: chairs, tables, beds, cabinets and interior props.",Miscellaneous,/home/ubuntu/BOPLUX_assets/Miscellaneous/kenney_furniture-kit_stairsCorner.fbx
kenney furniture-kit stairsOpen,https://kenney.nl/assets/furniture-kit,CC0 1.0,N,FBX,Not stated,"Furniture kit: chairs, tables, beds, cabinets and interior props.",Miscellaneous,/home/ubuntu/BOPLUX_assets/Miscellaneous/kenney_furniture-kit_stairsOpen.fbx
kenney furniture-kit stairsOpenSingle,https://kenney.nl/assets/furniture-kit,CC0 1.0,N,FBX,Not stated,"Furniture kit: chairs, tables, beds, cabinets and interior props.",Miscellaneous,/home/ubuntu/BOPLUX_assets/Miscellaneous/kenney_furniture-kit_stairsOpenSingle.fbx
kenney furniture-kit stoolBar,https://kenney.nl/assets/furniture-kit,CC0 1.0,N,FBX,Not stated,"Furniture kit: chairs, tables, beds, cabinets and interior props.",Furniture,/home/ubuntu/BOPLUX_assets/Furniture/kenney_furniture-kit_stoolBar.fbx
kenney furniture-kit stoolBarSquare,https://kenney.nl/assets/furniture-kit,CC0 1.0,N,FBX,Not stated,"Furniture kit: chairs, tables, beds, cabinets and interior props.",Furniture,/home/ubuntu/BOPLUX_assets/Furniture/kenney_furniture-kit_stoolBarSquare.fbx
kenney furniture-kit table,https://kenney.nl/assets/furniture-kit,CC0 1.0,N,FBX,Not stated,"Furniture kit: chairs, tables, beds, cabinets and interior props.",Furniture,/home/ubuntu/BOPLUX_assets/Furniture/kenney_furniture-kit_table.fbx
kenney furniture-kit tableCloth,https://kenney.nl/assets/furniture-kit,CC0 1.0,N,FBX,Not stated,"Furniture kit: chairs, tables, beds, cabinets and interior props.",Furniture,/home/ubuntu/BOPLUX_assets/Furniture/kenney_furniture-kit_tableCloth.fbx
kenney furniture-kit tableCoffee,https://kenney.nl/assets/furniture-kit,CC0 1.0,N,FBX,Not stated,"Furniture kit: chairs, tables, beds, cabinets and interior props.",Furniture,/home/ubuntu/BOPLUX_assets/Furniture/kenney_furniture-kit_tableCoffee.fbx
kenney furniture-kit tableCoffeeGlass,https://kenney.nl/assets/furniture-kit,CC0 1.0,N,FBX,Not stated,"Furniture kit: chairs, tables, beds, cabinets and interior props.",Furniture,/home/ubuntu/BOPLUX_assets/Furniture/kenney_furniture-kit_tableCoffeeGlass.fbx
kenney furniture-kit tableCoffeeGlassSquare,https://kenney.nl/assets/furniture-kit,CC0 1.0,N,FBX,Not stated,"Furniture kit: chairs, tables, beds, cabinets and interior props.",Furniture,/home/ubuntu/BOPLUX_assets/Furniture/kenney_furniture-kit_tableCoffeeGlassSquare.fbx
kenney furniture-kit tableCoffeeSquare,https://kenney.nl/assets/furniture-kit,CC0 1.0,N,FBX,Not stated,"Furniture kit: chairs, tables, beds, cabinets and interior props.",Furniture,/home/ubuntu/BOPLUX_assets/Furniture/kenney_furniture-kit_tableCoffeeSquare.fbx
kenney furniture-kit tableCross,https://kenney.nl/assets/furniture-kit,CC0 1.0,N,FBX,Not stated,"Furniture kit: chairs, tables, beds, cabinets and interior props.",Furniture,/home/ubuntu/BOPLUX_assets/Furniture/kenney_furniture-kit_tableCross.fbx
kenney furniture-kit tableCrossCloth,https://kenney.nl/assets/furniture-kit,CC0 1.0,N,FBX,Not stated,"Furniture kit: chairs, tables, beds, cabinets and interior props.",Furniture,/home/ubuntu/BOPLUX_assets/Furniture/kenney_furniture-kit_tableCrossCloth.fbx
kenney furniture-kit tableGlass,https://kenney.nl/assets/furniture-kit,CC0 1.0,N,FBX,Not stated,"Furniture kit: chairs, tables, beds, cabinets and interior props.",Furniture,/home/ubuntu/BOPLUX_assets/Furniture/kenney_furniture-kit_tableGlass.fbx
kenney furniture-kit tableRound,https://kenney.nl/assets/furniture-kit,CC0 1.0,N,FBX,Not stated,"Furniture kit: chairs, tables, beds, cabinets and interior props.",Furniture,/home/ubuntu/BOPLUX_assets/Furniture/kenney_furniture-kit_tableRound.fbx
kenney furniture-kit televisionAntenna,https://kenney.nl/assets/furniture-kit,CC0 1.0,N,FBX,Not stated,"Furniture kit: chairs, tables, beds, cabinets and interior props.",Miscellaneous,/home/ubuntu/BOPLUX_assets/Miscellaneous/kenney_furniture-kit_televisionAntenna.fbx
kenney furniture-kit televisionModern,https://kenney.nl/assets/furniture-kit,CC0 1.0,N,FBX,Not stated,"Furniture kit: chairs, tables, beds, cabinets and interior props.",Miscellaneous,/home/ubuntu/BOPLUX_assets/Miscellaneous/kenney_furniture-kit_televisionModern.fbx
kenney furniture-kit televisionVintage,https://kenney.nl/assets/furniture-kit,CC0 1.0,N,FBX,Not stated,"Furniture kit: chairs, tables, beds, cabinets and interior props.",Miscellaneous,/home/ubuntu/BOPLUX_assets/Miscellaneous/kenney_furniture-kit_televisionVintage.fbx
kenney furniture-kit toaster,https://kenney.nl/assets/furniture-kit,CC0 1.0,N,FBX,Not stated,"Furniture kit: chairs, tables, beds, cabinets and interior props.",Miscellaneous,/home/ubuntu/BOPLUX_assets/Miscellaneous/kenney_furniture-kit_toaster.fbx
kenney furniture-kit toilet,https://kenney.nl/assets/furniture-kit,CC0 1.0,N,FBX,Not stated,"Furniture kit: chairs, tables, beds, cabinets and interior props.",Miscellaneous,/home/ubuntu/BOPLUX_assets/Miscellaneous/kenney_furniture-kit_toilet.fbx
kenney furniture-kit toiletSquare,https://kenney.nl/assets/furniture-kit,CC0 1.0,N,FBX,Not stated,"Furniture kit: chairs, tables, beds, cabinets and interior props.",Miscellaneous,/home/ubuntu/BOPLUX_assets/Miscellaneous/kenney_furniture-kit_toiletSquare.fbx
kenney furniture-kit trashcan,https://kenney.nl/assets/furniture-kit,CC0 1.0,N,FBX,Not stated,"Furniture kit: chairs, tables, beds, cabinets and interior props.",Crates_Barrels_Clutter,/home/ubuntu/BOPLUX_assets/Crates_Barrels_Clutter/kenney_furniture-kit_trashcan.fbx
kenney furniture-kit wall,https://kenney.nl/assets/furniture-kit,CC0 1.0,N,FBX,Not stated,"Furniture kit: chairs, tables, beds, cabinets and interior props.",Structural_Kit,/home/ubuntu/BOPLUX_assets/Structural_Kit/kenney_furniture-kit_wall.fbx
kenney furniture-kit wallCorner,https://kenney.nl/assets/furniture-kit,CC0 1.0,N,FBX,Not stated,"Furniture kit: chairs, tables, beds, cabinets and interior props.",Structural_Kit,/home/ubuntu/BOPLUX_assets/Structural_Kit/kenney_furniture-kit_wallCorner.fbx
kenney furniture-kit wallCornerRond,https://kenney.nl/assets/furniture-kit,CC0 1.0,N,FBX,Not stated,"Furniture kit: chairs, tables, beds, cabinets and interior props.",Structural_Kit,/home/ubuntu/BOPLUX_assets/Structural_Kit/kenney_furniture-kit_wallCornerRond.fbx
kenney furniture-kit wallDoorway,https://kenney.nl/assets/furniture-kit,CC0 1.0,N,FBX,Not stated,"Furniture kit: chairs, tables, beds, cabinets and interior props.",Structural_Kit,/home/ubuntu/BOPLUX_assets/Structural_Kit/kenney_furniture-kit_wallDoorway.fbx
kenney furniture-kit wallDoorwayWide,https://kenney.nl/assets/furniture-kit,CC0 1.0,N,FBX,Not stated,"Furniture kit: chairs, tables, beds, cabinets and interior props.",Structural_Kit,/home/ubuntu/BOPLUX_assets/Structural_Kit/kenney_furniture-kit_wallDoorwayWide.fbx
kenney furniture-kit wallHalf,https://kenney.nl/assets/furniture-kit,CC0 1.0,N,FBX,Not stated,"Furniture kit: chairs, tables, beds, cabinets and interior props.",Structural_Kit,/home/ubuntu/BOPLUX_assets/Structural_Kit/kenney_furniture-kit_wallHalf.fbx
kenney furniture-kit wallWindow,https://kenney.nl/assets/furniture-kit,CC0 1.0,N,FBX,Not stated,"Furniture kit: chairs, tables, beds, cabinets and interior props.",Structural_Kit,/home/ubuntu/BOPLUX_assets/Structural_Kit/kenney_furniture-kit_wallWindow.fbx
kenney furniture-kit wallWindowSlide,https://kenney.nl/assets/furniture-kit,CC0 1.0,N,FBX,Not stated,"Furniture kit: chairs, tables, beds, cabinets and interior props.",Structural_Kit,/home/ubuntu/BOPLUX_assets/Structural_Kit/kenney_furniture-kit_wallWindowSlide.fbx
kenney furniture-kit washer,https://kenney.nl/assets/furniture-kit,CC0 1.0,N,FBX,Not stated,"Furniture kit: chairs, tables, beds, cabinets and interior props.",Miscellaneous,/home/ubuntu/BOPLUX_assets/Miscellaneous/kenney_furniture-kit_washer.fbx
kenney furniture-kit washerDryerStacked,https://kenney.nl/assets/furniture-kit,CC0 1.0,N,FBX,Not stated,"Furniture kit: chairs, tables, beds, cabinets and interior props.",Miscellaneous,/home/ubuntu/BOPLUX_assets/Miscellaneous/kenney_furniture-kit_washerDryerStacked.fbx
kenney furniture-kit bathroomCabinet,https://kenney.nl/assets/furniture-kit,CC0 1.0,N,GLB,Not stated,"Furniture kit: chairs, tables, beds, cabinets and interior props.",Furniture,/home/ubuntu/BOPLUX_assets/Furniture/kenney_furniture-kit_bathroomCabinet.glb
kenney furniture-kit bathroomCabinetDrawer,https://kenney.nl/assets/furniture-kit,CC0 1.0,N,GLB,Not stated,"Furniture kit: chairs, tables, beds, cabinets and interior props.",Furniture,/home/ubuntu/BOPLUX_assets/Furniture/kenney_furniture-kit_bathroomCabinetDrawer.glb
kenney furniture-kit bathroomMirror,https://kenney.nl/assets/furniture-kit,CC0 1.0,N,GLB,Not stated,"Furniture kit: chairs, tables, beds, cabinets and interior props.",Miscellaneous,/home/ubuntu/BOPLUX_assets/Miscellaneous/kenney_furniture-kit_bathroomMirror.glb
kenney furniture-kit bathroomSink,https://kenney.nl/assets/furniture-kit,CC0 1.0,N,GLB,Not stated,"Furniture kit: chairs, tables, beds, cabinets and interior props.",Miscellaneous,/home/ubuntu/BOPLUX_assets/Miscellaneous/kenney_furniture-kit_bathroomSink.glb
kenney furniture-kit bathroomSinkSquare,https://kenney.nl/assets/furniture-kit,CC0 1.0,N,GLB,Not stated,"Furniture kit: chairs, tables, beds, cabinets and interior props.",Miscellaneous,/home/ubuntu/BOPLUX_assets/Miscellaneous/kenney_furniture-kit_bathroomSinkSquare.glb
kenney furniture-kit bathtub,https://kenney.nl/assets/furniture-kit,CC0 1.0,N,GLB,Not stated,"Furniture kit: chairs, tables, beds, cabinets and interior props.",Miscellaneous,/home/ubuntu/BOPLUX_assets/Miscellaneous/kenney_furniture-kit_bathtub.glb
kenney furniture-kit bear,https://kenney.nl/assets/furniture-kit,CC0 1.0,N,GLB,Not stated,"Furniture kit: chairs, tables, beds, cabinets and interior props.",Miscellaneous,/home/ubuntu/BOPLUX_assets/Miscellaneous/kenney_furniture-kit_bear.glb
kenney furniture-kit bedBunk,https://kenney.nl/assets/furniture-kit,CC0 1.0,N,GLB,Not stated,"Furniture kit: chairs, tables, beds, cabinets and interior props.",Furniture,/home/ubuntu/BOPLUX_assets/Furniture/kenney_furniture-kit_bedBunk.glb
kenney furniture-kit bedDouble,https://kenney.nl/assets/furniture-kit,CC0 1.0,N,GLB,Not stated,"Furniture kit: chairs, tables, beds, cabinets and interior props.",Furniture,/home/ubuntu/BOPLUX_assets/Furniture/kenney_furniture-kit_bedDouble.glb
kenney furniture-kit bedSingle,https://kenney.nl/assets/furniture-kit,CC0 1.0,N,GLB,Not stated,"Furniture kit: chairs, tables, beds, cabinets and interior props.",Furniture,/home/ubuntu/BOPLUX_assets/Furniture/kenney_furniture-kit_bedSingle.glb
kenney furniture-kit bench,https://kenney.nl/assets/furniture-kit,CC0 1.0,N,GLB,Not stated,"Furniture kit: chairs, tables, beds, cabinets and interior props.",Furniture,/home/ubuntu/BOPLUX_assets/Furniture/kenney_furniture-kit_bench.glb
kenney furniture-kit benchCushion,https://kenney.nl/assets/furniture-kit,CC0 1.0,N,GLB,Not stated,"Furniture kit: chairs, tables, beds, cabinets and interior props.",Furniture,/home/ubuntu/BOPLUX_assets/Furniture/kenney_furniture-kit_benchCushion.glb
kenney furniture-kit benchCushionLow,https://kenney.nl/assets/furniture-kit,CC0 1.0,N,GLB,Not stated,"Furniture kit: chairs, tables, beds, cabinets and interior props.",Furniture,/home/ubuntu/BOPLUX_assets/Furniture/kenney_furniture-kit_benchCushionLow.glb
kenney furniture-kit bookcaseClosed,https://kenney.nl/assets/furniture-kit,CC0 1.0,N,GLB,Not stated,"Furniture kit: chairs, tables, beds, cabinets and interior props.",Miscellaneous,/home/ubuntu/BOPLUX_assets/Miscellaneous/kenney_furniture-kit_bookcaseClosed.glb
kenney furniture-kit bookcaseClosedDoors,https://kenney.nl/assets/furniture-kit,CC0 1.0,N,GLB,Not stated,"Furniture kit: chairs, tables, beds, cabinets and interior props.",Structural_Kit,/home/ubuntu/BOPLUX_assets/Structural_Kit/kenney_furniture-kit_bookcaseClosedDoors.glb
kenney furniture-kit bookcaseClosedWide,https://kenney.nl/assets/furniture-kit,CC0 1.0,N,GLB,Not stated,"Furniture kit: chairs, tables, beds, cabinets and interior props.",Miscellaneous,/home/ubuntu/BOPLUX_assets/Miscellaneous/kenney_furniture-kit_bookcaseClosedWide.glb
kenney furniture-kit bookcaseOpen,https://kenney.nl/assets/furniture-kit,CC0 1.0,N,GLB,Not stated,"Furniture kit: chairs, tables, beds, cabinets and interior props.",Miscellaneous,/home/ubuntu/BOPLUX_assets/Miscellaneous/kenney_furniture-kit_bookcaseOpen.glb
kenney furniture-kit bookcaseOpenLow,https://kenney.nl/assets/furniture-kit,CC0 1.0,N,GLB,Not stated,"Furniture kit: chairs, tables, beds, cabinets and interior props.",Miscellaneous,/home/ubuntu/BOPLUX_assets/Miscellaneous/kenney_furniture-kit_bookcaseOpenLow.glb
kenney furniture-kit books,https://kenney.nl/assets/furniture-kit,CC0 1.0,N,GLB,Not stated,"Furniture kit: chairs, tables, beds, cabinets and interior props.",Miscellaneous,/home/ubuntu/BOPLUX_assets/Miscellaneous/kenney_furniture-kit_books.glb
kenney furniture-kit cabinetBed,https://kenney.nl/assets/furniture-kit,CC0 1.0,N,GLB,Not stated,"Furniture kit: chairs, tables, beds, cabinets and interior props.",Furniture,/home/ubuntu/BOPLUX_assets/Furniture/kenney_furniture-kit_cabinetBed.glb
kenney furniture-kit cabinetBedDrawer,https://kenney.nl/assets/furniture-kit,CC0 1.0,N,GLB,Not stated,"Furniture kit: chairs, tables, beds, cabinets and interior props.",Furniture,/home/ubuntu/BOPLUX_assets/Furniture/kenney_furniture-kit_cabinetBedDrawer.glb
kenney furniture-kit cabinetBedDrawerTable,https://kenney.nl/assets/furniture-kit,CC0 1.0,N,GLB,Not stated,"Furniture kit: chairs, tables, beds, cabinets and interior props.",Furniture,/home/ubuntu/BOPLUX_assets/Furniture/kenney_furniture-kit_cabinetBedDrawerTable.glb
kenney furniture-kit cabinetTelevision,https://kenney.nl/assets/furniture-kit,CC0 1.0,N,GLB,Not stated,"Furniture kit: chairs, tables, beds, cabinets and interior props.",Furniture,/home/ubuntu/BOPLUX_assets/Furniture/kenney_furniture-kit_cabinetTelevision.glb
kenney furniture-kit cabinetTelevisionDoors,https://kenney.nl/assets/furniture-kit,CC0 1.0,N,GLB,Not stated,"Furniture kit: chairs, tables, beds, cabinets and interior props.",Structural_Kit,/home/ubuntu/BOPLUX_assets/Structural_Kit/kenney_furniture-kit_cabinetTelevisionDoors.glb
kenney furniture-kit cardboardBoxClosed,https://kenney.nl/assets/furniture-kit,CC0 1.0,N,GLB,Not stated,"Furniture kit: chairs, tables, beds, cabinets and interior props.",Crates_Barrels_Clutter,/home/ubuntu/BOPLUX_assets/Crates_Barrels_Clutter/kenney_furniture-kit_cardboardBoxClosed.glb
kenney furniture-kit cardboardBoxOpen,https://kenney.nl/assets/furniture-kit,CC0 1.0,N,GLB,Not stated,"Furniture kit: chairs, tables, beds, cabinets and interior props.",Crates_Barrels_Clutter,/home/ubuntu/BOPLUX_assets/Crates_Barrels_Clutter/kenney_furniture-kit_cardboardBoxOpen.glb
kenney furniture-kit ceilingFan,https://kenney.nl/assets/furniture-kit,CC0 1.0,N,GLB,Not stated,"Furniture kit: chairs, tables, beds, cabinets and interior props.",Miscellaneous,/home/ubuntu/BOPLUX_assets/Miscellaneous/kenney_furniture-kit_ceilingFan.glb
